Province,feature_name,shap_value,feature_value,base_value,predicted_pm25
Lampang,day_cos,0.005096975,0.9795299412524943,0.48551037907600403,0.0
Lampang,is_haze_season,-0.00029381155,0.0,0.48551037907600403,0.0
Lampang,year,-0.012492783,2026.0,0.48551037907600403,0.0
Lampang,province_label,0.0,2.0,0.48551037907600403,0.0
Lampang,province_target_enc,0.0,18.251279707495428,0.48551037907600403,0.0
Lampang,temp_x_humidity,0.029246604,23.814,0.48551037907600403,0.0
Lampang,hotspot_x_haze,-5.010728e-05,0.0,0.48551037907600403,0.0
Lampang,frp_x_haze,-0.00039767555,0.0,0.48551037907600403,0.0
Lampang,wind_x_hotspot,0.0010259786,2.508463256919277,0.48551037907600403,0.0
Lampang,pm25_lag_1h,-11.3508005,0.0,0.48551037907600403,0.0
Lampang,pm25_lag_2h,-0.549137,0.0,0.48551037907600403,0.0
Lampang,pm25_lag_3h,-0.008619543,0.0,0.48551037907600403,0.0
Lampang,pm25_lag_6h,-0.019395394,0.0,0.48551037907600403,0.0
Lampang,pm25_lag_12h,0.11583311,0.0,0.48551037907600403,0.0
Lampang,pm25_lag_24h,-1.682081,0.0,0.48551037907600403,0.0
Lampang,pm25_lag_48h,-0.19326743,0.0,0.48551037907600403,0.0
Lampang,pm25_lag_72h,-0.045240544,0.0,0.48551037907600403,0.0
Lampang,hotspot_lag_24h,-0.009097978,5.0,0.48551037907600403,0.0
Lampang,hotspot_lag_48h,-0.0071664364,5.0,0.48551037907600403,0.0
Lampang,hotspot_lag_72h,-0.0016402493,5.0,0.48551037907600403,0.0
Lampang,frp_sum_lag_24h,0.0047732084,30.76,0.48551037907600403,0.0
Lampang,frp_sum_lag_48h,0.006077644,30.76,0.48551037907600403,0.0
Lampang,frp_sum_lag_72h,-0.0032238862,30.76,0.48551037907600403,0.0
Lampang,hotspot_log_lag_24h,-0.0026152572,1.791759469228055,0.48551037907600403,0.0
Lampang,hotspot_log_lag_48h,-0.0014741322,1.791759469228055,0.48551037907600403,0.0
Lampang,hotspot_log_lag_72h,-0.001660695,1.791759469228055,0.48551037907600403,0.0
Lampang,pm25_roll_mean_3h,-2.1043544,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_mean_6h,-0.007916232,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_mean_12h,-0.0045320634,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_mean_24h,-0.3795182,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_mean_48h,0.03236769,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_mean_168h,0.07810262,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_std_3h,0.05657997,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_std_6h,0.11800246,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_std_12h,-0.1302026,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_std_24h,0.023325266,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_std_48h,-0.044455763,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_std_168h,0.0048644855,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_max_3h,-1.6391422,0.0,0.48551037907600403,0.0
