date,Province,hotspot_count,frp_sum,frp_mean
2023-02-22,Nan,113.0,232.64,2.0587610619469023
2023-02-22,Phayao,31.0,95.16,3.0696774193548384
2023-02-22,Phrae,137.0,260.15,1.898905109489051
2023-02-23,Chiang Mai,7.0,12.35,1.7642857142857142
2023-02-23,Chiang Rai,7.0,13.69,1.9557142857142857
2023-02-23,Lampang,34.0,87.65,2.5779411764705884
2023-02-23,Lamphun,16.0,42.31,2.644375
2023-02-23,Mae Hong Son,3.0,12.059999999999999,4.02
2023-02-23,Nan,59.0,121.46000000000001,2.0586440677966102
2023-02-23,Phayao,23.0,71.33,3.101304347826087
2023-02-23,Phrae,62.0,119.84,1.9329032258064516
2023-02-24,Chiang Mai,7.0,16.27,2.3242857142857143
2023-02-24,Chiang Rai,3.0,4.83,1.61
2023-02-24,Lampang,32.0,50.74,1.585625
2023-02-24,Lamphun,5.0,23.71,4.742
2023-02-24,Mae Hong Son,10.0,34.5,3.45
2023-02-24,Nan,55.0,104.03,1.8914545454545455
2023-02-24,Phayao,16.0,24.12,1.5075
2023-02-24,Phrae,19.0,28.9,1.5210526315789472
2023-02-25,Chiang Mai,6.0,21.43,3.5716666666666668
2023-02-25,Chiang Rai,0.0,0.0,0.0
2023-02-25,Lampang,13.0,56.94,4.38
2023-02-25,Lamphun,11.0,37.410000000000004,3.4009090909090913
2023-02-25,Mae Hong Son,8.0,44.18,5.5225
2023-02-25,Nan,29.0,65.55,2.2603448275862066
2023-02-25,Phayao,10.0,64.23,6.423
2023-02-25,Phrae,21.0,57.08,2.718095238095238
2023-02-26,Chiang Mai,16.0,44.03,2.751875
2023-02-26,Chiang Rai,2.0,1.4,0.7
2023-02-26,Lampang,64.0,168.8,2.6375
2023-02-26,Lamphun,51.0,139.71,2.7394117647058827
2023-02-26,Mae Hong Son,16.0,29.63,1.851875
2023-02-26,Nan,85.0,247.56,2.912470588235294
2023-02-26,Phayao,15.0,31.41,2.094
2023-02-26,Phrae,88.0,193.27,2.19625
2023-02-27,Chiang Mai,73.0,152.12,2.083835616438356
2023-02-27,Chiang Rai,8.0,18.1,2.2625
2023-02-27,Lampang,192.0,414.62,2.159479166666667
2023-02-27,Lamphun,113.0,237.58,2.1024778761061946
2023-02-27,Mae Hong Son,64.0,129.1,2.0171875
2023-02-27,Nan,250.0,587.06,2.3482399999999997
2023-02-27,Phayao,75.0,179.4,2.392
2023-02-27,Phrae,235.0,510.72,2.173276595744681
2023-02-28,Chiang Mai,68.0,181.71,2.6722058823529413
2023-02-28,Chiang Rai,13.0,18.71,1.4392307692307693
2023-02-28,Lampang,160.0,299.77,1.8735624999999998
2023-02-28,Lamphun,121.0,264.55,2.1863636363636365
2023-02-28,Mae Hong Son,26.0,60.43,2.3242307692307693
2023-02-28,Nan,215.0,450.68,2.0961860465116278
2023-02-28,Phayao,71.0,111.71,1.5733802816901408
2023-02-28,Phrae,157.0,317.64,2.0231847133757963
2023-03-01,Chiang Mai,27.0,61.39,2.2737037037037036
2023-03-01,Chiang Rai,10.0,19.419999999999998,1.9419999999999997
2023-03-01,Lampang,72.0,160.73,2.232361111111111
2023-03-01,Lamphun,79.0,258.2,3.2683544303797465
2023-03-01,Mae Hong Son,34.0,146.31,4.3032352941176475
2023-03-01,Nan,123.0,267.71,2.17650406504065
2023-03-01,Phayao,29.0,60.83,2.0975862068965516
2023-03-01,Phrae,48.0,98.48,2.0516666666666667
2023-03-02,Chiang Mai,44.0,112.74,2.562272727272727
2023-03-02,Chiang Rai,8.0,13.52,1.69
2023-03-02,Lampang,52.0,111.11,2.1367307692307693
2023-03-02,Lamphun,61.0,197.37,3.2355737704918033
2023-03-02,Mae Hong Son,48.0,320.93,6.686041666666667
2023-03-02,Nan,32.0,110.78,3.461875
2023-03-02,Phayao,36.0,85.74,2.3816666666666664
2023-03-02,Phrae,35.0,235.52,6.7291428571428575
2023-03-03,Chiang Mai,56.0,214.17000000000002,3.824464285714286
2023-03-03,Chiang Rai,10.0,16.67,1.6670000000000003
